1, 1, 0.000002
2, 2, 0.000002
3, 3, 0.000002
4, 4, 0.000003
5, 5, 0.000005
6, 6, 0.000008
7, 7, 0.000014
8, 8, 0.000023
9, 9, 0.000035
10, 10, 0.000054
11, 11, 0.000098
12, 12, 0.000109
13, 13, 0.000148
14, 14, 0.000221
15, 15, 0.000274
16, 16, 0.000351
17, 17, 0.000443
18, 18, 0.000606
19, 19, 0.000752
20, 20, 0.000832
21, 21, 0.001009
22, 22, 0.001241
23, 23, 0.001454
24, 24, 0.001764
25, 25, 0.002051
26, 26, 0.002372
27, 27, 0.002765
28, 28, 0.003200
29, 29, 0.003696
30, 30, 0.004445
31, 31, 0.005114
32, 32, 0.006046
33, 33, 0.007773
34, 34, 0.007622
35, 35, 0.008389
36, 36, 0.009486
37, 37, 0.010408
38, 38, 0.011520
39, 39, 0.012875
40, 40, 0.014299
41, 41, 0.015527
42, 42, 0.017562
43, 43, 0.019043
44, 44, 0.021037
45, 45, 0.022774
46, 46, 0.024602
47, 47, 0.027021
48, 48, 0.029510
49, 49, 0.032177
50, 50, 0.034609
51, 51, 0.037324
52, 52, 0.040008
53, 53, 0.043735
54, 54, 0.047082
55, 55, 0.050640
56, 56, 0.054673
57, 57, 0.058597
58, 58, 0.062101
59, 59, 0.067215
60, 60, 0.071786
61, 61, 0.076067
62, 62, 0.082168
63, 63, 0.087018
64, 64, 0.092918
65, 65, 0.098003
66, 66, 0.104360
67, 67, 0.110671
68, 68, 0.118330
69, 69, 0.124966
70, 70, 0.133283
71, 71, 0.140913
72, 72, 0.151220
73, 73, 0.156691
74, 74, 0.165558
75, 75, 0.179418
76, 76, 0.189249
77, 77, 0.196818
78, 78, 0.205057
79, 79, 0.216248
80, 80, 0.228233
81, 81, 0.237329
82, 82, 0.244547
83, 83, 0.258531
84, 84, 0.274004
85, 85, 0.284667
86, 86, 0.319560
87, 87, 0.333945
88, 88, 0.342995
89, 89, 0.347571
90, 90, 0.362526
91, 91, 0.380650
92, 92, 0.398128
93, 93, 0.416427
94, 94, 0.432809
95, 95, 0.464697
96, 96, 0.473025
97, 97, 0.495251
98, 98, 0.554973
99, 99, 0.516582
100, 100, 0.544611
